sentiment,text,selected_text
negative,sitting around doing fuck all....tired,tired
negative,i don't know !!, i don't know !!
negative,@dorkybarb there are currently 0 penguins at the mn zoo...  but we can go sometime soon., there are currently 0 penguins at the mn zoo... but we can go sometime soon.
negative,"@davidcrow @cspin and i suppose, until we have more bike lanes, the roads aren't safe enough to pull your kids in bike buggies/trailers", the roads aren't safe enough
positive,@yinawu happy mother's day  http://bit.ly/ijm54  (my friends made the video), happy
positive,happy 1 year! &lt;3, happy
positive,http://twitpic.com/66sls - @megelin and i just saw this monster dog in the park, i just saw this monster dog in the park
negative,#bgt it's a shame that the dreambears won't get through, shame
negative,"is waiting, yet again. please, just let this to be over"," please, just let this to be over"
negative,"@mamagaea sorry to hear about your dude probs, what is it that's too much?", sorry
neutral,looking for new picture for my twitter background@  help little here!!, looking for new picture for my twitter background@ help little here!!
negative,@aubs my thoughts exactly re: leaving my 3 dogs. they al hate when they see the luggage come out, hate
negative,@bitterpurl i don't even look at their fabric unless i need polar fleece.   it's worth the extra $ to go to needle and thread., @bitterpurl i don't even look at their fabric unless i need polar fleece. it's worth the extra $ to go to needle and thread.
positive,"@babyvtec lol - that's what hubby's are there for, to think their wives are nuts."," lol - that's what hubby's are there for, to think their wives are nuts."
negative,"at the risk of sounding like a whiny child, i gotta say...i wanna go hoooooooooooomeeeee!!! ugh.", ugh.
neutral,ipod touch = brick., ipod touch = brick.
neutral,@adamkruth serious! perhaps sat will work out better, @adamkruth serious! perhaps sat will work out better
positive,my sissy and i went to a bridal shower tonight; crazy women!!, crazy women!!
positive,happy mommy's day to all the mothers in the world!, happy
negative,"wishing i was going to up tonight, but it will have to wait until tomorrow.", but it will have to wait until tomorrow.
positive,never mind it's closed  sorry miley, sorry miley
neutral,"@dhughesy nah, you're just altered forever   enjoy."," @dhughesy nah, you're just altered forever enjoy."
positive,"hey guys  we just wanted to announce a marathon! so, let's just say...get ready for a couple episodes!"," hey guys we just wanted to announce a marathon! so, let's just say...get ready for a couple episodes!"
positive,night improved., improved.
positive,ra'anana is a wonderful place, wonderful place
positive,@yourbabyv  i don't like demi...i like la la land and don't forget. do you like ashley tisdale??, i don't like demi...i like la la land and don't forget. do you like ashley tisdale??
negative,"yeah, that didn't last long.."," yeah, that didn't last long.."
negative,@don_iain well my team couldn't, well my team couldn't
positive,ay dios mio! 2 weeks left of college!!! ah can't wait!!, ah can't wait!!
positive,is having a loungey sunday, loungey sunday
neutral,@jimmylala i'd rather find out from experience :-/ ...but where are the stories?, @jimmylala i'd rather find out from experience :-/ ...but where are the stories?
negative,it's tough being a thick chik, tough
positive,"@meshel_laurie sending love, blessings &amp; healing thoughts to you &amp; family  peace"," sending love, blessings &amp; healing thoughts to you &amp; family peace"
positive,family bbq today &amp; my fave cousin comes too, fave
neutral,i wanna be wif my boyfrannnnn, i wanna be wif my boyfrannnnn
negative,"big laptop is too big, so it's time to switch to the eee.  bye big guy"," big laptop is too big,"
negative,@nofearentertain just read up on your mom   hope she's okay!!, hope she's okay!!
negative,@materialgirl1 i won't b hereeeeee. imma b in georgia  and then i'm off to la. grrrrrr!, grrrrrr!
negative,"@genuineamy dude, i miss the 90's.   btw, the name of my mix is &quot;damn the man! save the 90's!&quot; hahaha", miss
negative,@jmliss link didn't work, didn't work
neutral,can't play solitaire for crap lol  more updates soon (y), can't play solitaire for crap lol more updates soon (y)
negative,dont wanna go to mississppi!!!!!!!! ugh!! texas is my home..... upset!!!, upset!!!
positive,tabu. how ive missed you, how ive missed you
positive,@melissahelene i'm a celebrity tooooo!, i'm a celebrity tooooo!
positive,@theclimbx3 i knooow  its the pizza girl episode xd &lt;3, i knooow
negative,"@fountain1987 ooh!wish i was there.just watched hollyoaks on e4.so sad,please dont leave chris!","so sad,"
negative,@drmeredithgrey i think she'll pull through., i think she'll pull through.
negative,i want a new ui  but i don't want to actually set it up myself., i don't want to actually set it up myself.
negative,@yahyan where'd you go!, where'd you go!
neutral,@aiderushton ill be over in an oir, @aiderushton ill be over in an oir
neutral,@mariahcarey in filipino if u say &quot;nakuh grabeh!&quot; it's like sayin omg, @mariahcarey in filipino if u say &quot;nakuh grabeh!&quot; it's like sayin omg
negative,this weather sucksss, sucksss
negative,i hate going to the dr  just wasted 1 hour and a half for them to say my back pain is probly depression or stress. duhh! i need it fixed, i hate
negative,i want to go home!!, i want to go home!!
neutral,got into the show early. jackson's chillen. lil shorty, got into the show early. jackson's chillen. lil shorty
negative,@jadeyyg  haa i'm so exciteddd woooo, i'm so exciteddd woooo
positive,yay it's friday... hold on i have to work tomorrow, yay
neutral,"oops - correction, it's @nowheremonastry.  can't seem to spell worth a darn today..."," oops - correction, it's @nowheremonastry. can't seem to spell worth a darn today..."
positive,i really want a camera!, i really want a camera!
positive,to all mothers out there in twitterland: happy mother's day. i hope your day is a great one.  ~tara mae, happy
negative,@casgetta what's wrong?, what's wrong?
negative,i'm sick of waking up and feeling exhausted, i'm sick
neutral,@felicityfuller, @felicityfuller
positive,"live from new york, it's justin timberlake!"," live from new york, it's justin timberlake!"
positive,catching up on #dollhouse yay alan tudyk aka wash is in it., yay
negative,"panda express, it's been so long. i've missed you", missed you
neutral,@dreaming_aloud @danbarnes501 and that hindi flick '99' that came out a couple of weeks ago that never made it to the uk, @dreaming_aloud @danbarnes501 and that hindi flick '99' that came out a couple of weeks ago that never made it to the uk
negative,congrats to all graduates! such a beautiful thing &amp; big deal! i jus wish i cudve attended my lil man ryan kdg graduation  feel very sad!, feel very sad!
negative,ok so this eye doctor guy is taking forever and i'm sitting in a cold room by myself...what? a jerk!, jerk!
negative,sinus congestion is making thinking straight difficult, difficult
negative,"@tncc24 - yay for getting errands done! oh, an assortment of out-of-my-control things. topped off w/ a crap race, haha", crap
negative,off to the porn store. i forgot to put dave in my ipod.  fail., fail.
positive,my whole life has come to this......incredibly amazing,incredibly amazing
negative,@gregverdino i can't believe you tweeted that. it was our special moment, i can't believe you tweeted that.
positive,can't stop playing fallout 3!  this game is addictive like crack!!  it's bad when you dream that your repairing guns in your sleep, addictive
neutral,my 11y/o daughter and i have just had the kind of argument i don't mind having - over who loves the other more, my 11y/o daughter and i have just had the kind of argument i don't mind having - over who loves the other more
negative,weather sucks. apush filming has become a maybe  at least banquet is tonight, sucks.
positive,@philipwang lol sweet!!! ...i still have yet to watch the 4th movie  hope ur having a lovely weekend! happy mother's day from aus! =p haha, hope ur having a lovely
positive,happy mother's day to all the moms out there., happy
neutral,i wish the birthday massacre would come to australia  i think they said they're thinking about it though!!, i wish the birthday massacre would come to australia i think they said they're thinking about it though!!
negative,"@jowork oh, she gon com back again.........and yo' azz betta make a vid about yo' prom boy"," oh, she gon com back again.........and yo' azz betta make a vid about yo' prom boy"
negative,won't be going to the oxford internet institute sunner doctoral programme in brisbane: lack of funding, lack of funding
positive,@tinchystryder i'm going big weekend  cant wait to see u! x, cant wait to see u!
positive,"@ost8doc  sorry...but, i bet they aren't that bad..."," sorry...but, i bet they aren't that bad..."
positive,@eemma http://twitpic.com/2aa0m - so this is where you're getting the $$$ for the island, so this is where you're getting the $$$ for the island
positive,http://twitpic.com/4wmoa - yeyy.., yeyy..
positive,@amazondotjon http://twitpic.com/4j9cd - whoaaaaaaaaaaa ryan!!!! i can see his smile from here, whoaaaaaaaaaaa ryan!!!! i can see his smile
negative,"@katcal i'm relying on my mobile, which lacks reception. trying to help, but just looking silly"," lacks reception. trying to help, but just looking silly"
negative,"i think a cat is trapped in my back garden but cant find it. hopefully its in someone elses garden, dont fancy finding a poorly cat"," i think a cat is trapped in my back garden but cant find it. hopefully its in someone elses garden, dont fancy finding a poorly cat"
negative,@tommcfly have you guys heard about the flu that's been going around? swine flu? hope you guys are safe  there've been deaths already. :-s, deaths already.
neutral,@kennywormald ohh i was so confused!:p i haven't seen it. it's your favourite?, @kennywormald ohh i was so confused!:p i haven't seen it. it's your favourite?
neutral,"@aly_o uh, could you come visit austin before you make your gigantic moving decision? it's closer to st louis than portland."," @aly_o uh, could you come visit austin before you make your gigantic moving decision? it's closer to st louis than portland."
neutral,when am i getting a yearbook?  today was strange, when am i getting a yearbook? today was strange
neutral,back again. almost the last haul.  - at wagner's casa in bend http://shz.me/5ke, back again. almost the last haul. - at wagner's casa in bend http://shz.me/5ke
negative,@mmsanwar i hate how i won't see you ever again and especially next week because i won't have anyone to go yum cha with, i hate
negative,awww sunthings wrong w/ my ubertwitter last nite., wrong
negative,you know your neck is jacked up when you are forced to pay for parking bc you can't turn you head to parallel park in the free spaces..., you know your neck is jacked up when you are forced to pay for parking bc you can't turn you head to parallel park in the free spaces...
positive,still can't believe all of the gig posters in the little civic have been taken down!?, still can't believe
positive,@raehole @melissahope did you ladies see ghost of girlfriends past? i really liked it! &amp; would totally see it again if  u haven't, i really liked
positive,http://twitpic.com/4w855 operation happy mom a success!, happy mom a success!
negative,@dagadong  probably why he's still married to joan perhaps?, probably why he's still married to joan perhaps?
positive,cant wait for thursday!, cant wait for thursday!
neutral,"@tomvmorris tom, your fb link isn't working."," @tomvmorris tom, your fb link isn't working."
neutral,lï¿½m ti?c m?ng mm gia nh?p h?i ?i ah, lï¿½m ti?c m?ng mm gia nh?p h?i ?i ah
positive,@irishpixie36 ok im off to pc world then  x x tweet u later x x lol, lol
negative,i'm poorly and can't sleep, poorly
neutral,@blucu so u aren't going to be in chicago, @blucu so u aren't going to be in chicago
positive,@deauxboi lol...he was cool! shoooooot..., cool!
negative,::ugh:: euro civ exam... studio later though, ::ugh::
neutral,white house joins social networking sites &gt; http://bit.ly/15fo4x - better late than never, white house joins social networking sites &gt; http://bit.ly/15fo4x - better late than never
negative,can't sleep....  &amp; why isn't my $ in my damn account!? bofa is trippin, can't sleep....
negative,@vasilly i think i have some tea somewhere. it's probably old though., it's probably old though.
neutral,is cursing ab's wardrobe handles. one drew blood, is cursing ab's wardrobe handles. one drew blood
positive,#trackflashback: &quot;i believe in a thing called love&quot; by the darkness - check it out..., love&quot;
positive,"@vjestep i'm mo nudge you again, better watch out!", better watch out!
positive,oh and i got my haircut today. i looove it, i looove it
neutral,yes... i'll have some ice in ice tea please  lol, yes... i'll have some ice in ice tea please lol
positive,i have new slippers! they are piggys! so so cute and very warm, so so cute
negative,@twisty7867 i'm using paint.net x64 and it's running crazily fast - can't afford cs4 unfortunately... yet, unfortunately...
positive,happy mother's day to all my favorite moms., happy
neutral,making egg tart &amp; chinese egg pudding. yum, making egg tart &amp; chinese egg pudding. yum
positive,@scrambledmegs haha i love surprises! i don't work til sunday tho so i have to wait., love surprises!
positive,i'm at the anime store iat rivercenter going crazy at all the pokemon stuff. i wish i had money, i wish
negative,aleesha's piggy died  she can't catch a fucking break man, died
positive,ms wee's wedding!!!!, ms wee's wedding!!!!
negative,"home! day scale from one to ten is an 8  damn i feel old compare to him, haha so cute."," damn i feel old compare to him, haha so cute."
neutral,acaaaaaabou, acaaaaaabou
negative,i wish i had more followers on twitter, i wish i had more followers on twitter
negative,@thealimonster  ftr i &lt;3 u and miss u on the team already, miss
positive,be sure to let the moms you know how fabulous you think they are!!   almost mother's day., fabulous
negative,bye daddy!! see you on tuesday, bye daddy!!
negative,livinghandy.de 2.0 - stay tuned  - http://www.livinghandy.de/, livinghandy.de 2.0 - stay tuned
negative,getting that funny feeling that usually indicates i'm sick. great...., sick.
negative,bless the little girl on bgt!, bless
negative,@tommcfly since '05, @tommcfly since '05
negative,my feet hurt, hurt
negative,@twistedhelen i emailed you back baby   how goes???, @twistedhelen i emailed you back baby how goes???
positive,going to another birthday party tonite, going to another birthday party tonite
neutral,"hi, my name is kate and i'm addicted to mm's!"," hi, my name is kate and i'm addicted to mm's!"
negative,i'm still full from the buffet at palms.  my stomach actually hurts. ugh gluttony bites., hurts.
negative,@twinnikkib too late  i'm already on the bus goin home  what the he'll u talkin about drinkin tea????, too late
negative,just seen 1 of the fat single mums from up the road &quot;seductively&quot; sprawled across some poor blokes bonnet. he probably needs new shockers, sprawled across some poor blokes bonnet. he probably needs new shockers
positive,@becthomasphoto it's your inherent humility, it's your inherent humility
neutral,"missing my granpa, goingo to church, its been two hard months without him!!"," missing my granpa, goingo to church, its been two hard months without him!!"
negative,this herniated disc sucks.  i'm stuck mostly on my back when i could be out riding., sucks.
neutral,i think both josiphina and jacqui have killed there tweetdecks or overspammed like someone, i think both josiphina and jacqui have killed there tweetdecks or overspammed like someone
neutral,my right arm is burnt from the sun, my right arm is burnt from the sun
positive,just saw star trek...one word: bombtastic!!! go see it if you haven't already. p.s. i love jon cho!!! haha, i love
negative,"@jennifalconer i haven't heard greg before i'm scared , i've heard he's rather freaky  x", i'm scared
neutral,"my copy shipped friday, if it shows up today, i'll tune in."," my copy shipped friday, if it shows up today, i'll tune in."
neutral,@missprecious2 &quot;coomee to ja-maiii-cah an feel alllll right!!&quot; hahaha, @missprecious2 &quot;coomee to ja-maiii-cah an feel alllll right!!&quot; hahaha
negative,change of plans. won't be seeing up today., won't be seeing up today.
neutral,we'll be visiting my grandparents later. btw i just heard katy perry's hook up whew so cool i love it more than k.clarkson's version, we'll be visiting my grandparents later. btw i just heard katy perry's hook up whew so cool i love it more than k.clarkson's version
neutral,@nick_carter can't see it it says &quot;this video is private.&quot;, @nick_carter can't see it it says &quot;this video is private.&quot;
neutral,@asinkujobear lol what..i was thirsty!, @asinkujobear lol what..i was thirsty!
negative,where is the boss... i'd like to have my check and leave please!, where is the boss... i'd like to have my check and leave please!
neutral,perky purple nail polish isn't as perky when its chipped, perky purple nail polish isn't as perky when its chipped
negative,britains got talent only two episodes left  will miss them buzzers lol., miss
negative,i have to go to the doctor... i don't want to... cause there i can wait sooo long..., i don't want to...
positive,@mariahcarey i'd say it a million plus plus plus times !!! i love you and appreciate you i'd choose your happieness over album any day, i love
neutral,no one's coming in, no one's coming in
negative,@xx_jessicab_xx yip.....aw gonna miss them on bb, miss
positive,"@boilerfan_98 damn, that's my favorite part...lol...ok, i'll just keep in stock alot then", favorite
neutral,d'oh...forgot the ferry turns around before going. so much for sitting in the sun. and the other side deck is closed., d'oh...forgot the ferry turns around before going. so much for sitting in the sun. and the other side deck is closed.
negative,haven't watched gossip girl in ageeees ! and need one tree hill season 3 . god i'm so slow, god i'm so slow
negative,@omgfasho brent is going to 789... and charles and dave we neeeeeeeeed to go, we neeeeeeeeed to go
positive,waiting for 5:00 &amp; having cramps, having cramps
negative,thinking about getting up for work, thinking about getting up for work
negative,soreeeee throattttttt, soreeeee throattttttt
negative,waiting around for boyfriend. then off to queens. ... looks like it's going to pour here in dt bklyn. umbrellaless, looks like it's going to pour here in dt bklyn. umbrellaless
negative,congrats to all graduates! such a beautiful thing &amp; big deal! i wish i cudve attended my lil man ryan kdg graduation..  feel very sad!, feel very sad!
neutral,"@nhuhieuma ava nï¿½y c?ng ch? cï¿½ 3 mï¿½u nh?? :-/ @gk2007 thui, hem sao em ?, c? h?i cï¿½n nhï¿½u m?,"," @nhuhieuma ava nï¿½y c?ng ch? cï¿½ 3 mï¿½u nh?? :-/ @gk2007 thui, hem sao em ?, c? h?i cï¿½n nhï¿½u m?,"
neutral,no topic maps talks at the balisage markup conference 2009   program online at http://tr.im/ml6z (via @bobdc) #topicmaps, no topic maps talks at the balisage markup conference 2009 program online at http://tr.im/ml6z (via @bobdc) #topicmaps
neutral,@niabassett oh that's star trek  going on the 7th already. woo!, @niabassett oh that's star trek going on the 7th already. woo!
positive,@kevin_puentez sikkkeee!!! i getting bose headphones for $1 today, i getting bose headphones for $1 today
negative,so my alarm got changed somehow and i ended up waking up at 1:00  i feel like half my day is gone, i feel like half my day is gone
neutral,@twentyfour  what i said!    i'll have to think about it and try again!, @twentyfour what i said! i'll have to think about it and try again!
positive,figured out twitter for my phone, figured out
positive,"ok, a few days old, but i love @armarno's diagram of the mainstream adoption curve http://is.gd/ufig . &quot;everyone is doing it&quot;   ...  !", love
neutral,ugh cramps  and it's hot, ugh cramps and it's hot
positive,@mariahcarey happy mother's day to ms. pat carey, happy
negative,i really need to sort out a bird table and some feeders - the robins and blue tits are being bullied, bullied
negative,i'am back to tweetie 1.1.1., i'am back to tweetie 1.1.1.
negative,@neyomfriday i'm here!... jdubb is @ his funky job...i guess.. we're neglected, neglected
negative,@reemerband hiyaa! how was tour? really disappointed that i couldn't make it   hope your all dandy ;) xxxxxxxx, really disappointed
neutral,couldn't let you twitter alone, couldn't let you twitter alone
negative,@laurenriot_x it's only on in glasgow, it's only on in glasgow
neutral,@jollyassjerk it's month end  i'm here till 11, @jollyassjerk it's month end i'm here till 11
positive,finallyy done !! and done clean'n lay'n down time 4 bed.. goshh its 3 o'clock !! lol nite nite twitta heads, finallyy done
negative,hip hop is alive &amp; well in nashville tn!, hip hop is alive &amp;
neutral,"@medicqt geez, 15 years? you'd think they would have had that checked out years ago!"," @medicqt geez, 15 years? you'd think they would have had that checked out years ago!"
negative,the best thing about ciara. she just finished singing!, the best thing about ciara. she just finished singing!
negative,@dfizzy you're so lucky. we have 6 weeks until summer, you're so lucky.
neutral,@puddynface2 i just heard from brendan (dj) that there isn't a party on the boat this weekend, @puddynface2 i just heard from brendan (dj) that there isn't a party on the boat this weekend
positive,@christinawrites look who i found just for you  ---&gt;  http://twitter.com/djt2009, look who i found just for you
negative,so bummed that i can't see ltj in june  hoping for a uk yoke soon, bummed
positive,@jessicacolon my son is back at school today - feeling much better. he wasn't too sick...he didn't stop eating!, feeling much better.
positive,mosque and mini-golf! haha i tied for 1st. it looks like the yankees aren't playing tonight   but i'll just play fifa! ~zade~, haha i tied for 1st.
negative,my student just walked in balling.  she just witnessed her dog getting hit on the street.  i don't know what to do to cheer her up., i don't know what to do to cheer her up.
positive,@mintyboi i can smack your head for you, i can smack your head for you
neutral,@switch42 i think that's cutting off the url so the pic doesn't turn up.   #mishaneedschapstick, @switch42 i think that's cutting off the url so the pic doesn't turn up. #mishaneedschapstick
neutral,@andrewschof hows u? lovely day here!, @andrewschof hows u? lovely day here!
positive,the ultimate shirt folding tool (http://www.flipfold.com/)- i saw @sheldoncooper using this in one of big bang theory's episodes, ultimate
negative,i've experienced apathy over empathy in customer service situations too many times recently., apathy
neutral,"currently uploading wordpress, this'll give the new site a bit more fluidity than blogger does"," currently uploading wordpress, this'll give the new site a bit more fluidity than blogger does"
positive,@tamamic - definitely following @torontostarmaps - i've been &quot;following&quot; the creator of this feature since 2005!, definitely following @torontostarmaps - i've been &quot;following&quot; the creator of this feature since 2005!
neutral,@clubpenguinfan3 i guess that boner story isn't so funny i've had tons of boner moments like that unfourtantly, @clubpenguinfan3 i guess that boner story isn't so funny i've had tons of boner moments like that unfourtantly
negative,@colinmoge  the one day i need to work, the one day i need to work
neutral,@pennydog seen him! he's beautiful, @pennydog seen him! he's beautiful
negative,"@julius_beez - i'm 20% hetero-challenged, but still didn't care for &quot;milk&quot;... i thought it was boring.", boring.
negative,"hey dudes, 4am. please check out my blog at http://stevencohmer.blogspot.com and my youtube channel http://youtube.com/stevencohmer"," hey dudes, 4am. please check out my blog at http://stevencohmer.blogspot.com and my youtube channel http://youtube.com/stevencohmer"
neutral,changing guitar strings.. getting ready to perform 'the climb' at my cousins birthdayy, changing guitar strings.. getting ready to perform 'the climb' at my cousins birthdayy
negative,"it's 6 am, i haven't been to bed yet, and i just got my second wind.  guess i should edit or read or something until i feel tired huh?", tired
negative,"@zacofficial  i don't have twitter on my phone, it's sad", sad
negative,@kelleydmcguire i don't know. what does it take to butter you up? actual butter?  xoxo, i don't know. what does it take to butter you up? actual butter? xoxo
positive,@dutchreaganite then i'll need plenty of quizzes to get through the work day., i'll need plenty of quizzes to get through the work day.
neutral,they're gone., they're gone.
positive,: experiencing the unique #winnipeg tradition known as &quot;the social&quot;. trying to pace myself., trying to pace myself.
neutral,"should have gone to bed ages ago, damn you tedtalks!  gotta get up early too"," should have gone to bed ages ago, damn you tedtalks! gotta get up early too"
neutral,@_supernatural_ http://twitpic.com/4u0r9 - if you need help for a shower... i'm here for u, @_supernatural_ http://twitpic.com/4u0r9 - if you need help for a shower... i'm here for u
negative,@livvixo god i need to revise today! i'm so lazy, i'm so lazy
positive,(cont) when @justben told him that i love beans on toast. so cute!, so cute!
neutral,"@ellewhite oh man, that's rough.  sounded like the weekend went well!  get some sleep"," @ellewhite oh man, that's rough. sounded like the weekend went well! get some sleep"
negative,@youngbanks206 did you already get your update? i havent yet, i havent yet
negative,"is enjoying a yummy salad, but missing her avocado  that's what happens when your husband does the grocery shop.", missing
positive,is  wishing work was done soon  &lt;3, wishing
neutral,having a lazy day after a very alcoholic wk end!!, having a lazy day after a very alcoholic wk end!!
neutral,"@amiong factory ng elmer's? hihihi. sorry, corny! baka si ate ruby, alam!"," @amiong factory ng elmer's? hihihi. sorry, corny! baka si ate ruby, alam!"
negative,waiting for hetzner to fix my server... seems like interspire sendstudio caused the problems, problems
negative,locked out of my fucking house!, locked out of my fucking house!
positive,@djironik hmm....well it aint that hot in hull lol   xx, lol
negative,"&quot;sometime around midnight&quot; by the airborne toxic event, literally cannot escape it. fml", literally cannot escape it.
neutral,talking to amber... showtime baby, talking to amber... showtime baby
negative,i think my ipod is sick  it doesn't want to connect to any wi-fi . . ., sick
positive,@thereisaseason it's fun to see that glimpse of your life, it's fun
positive,@jesssicababesss  how unreall  http://twitpic.com/66nvm, @jesssicababesss how unreall
neutral,dreambears were crap compared to their wicked audition, dreambears were crap compared to their wicked audition
positive,omg. that's all i can say, omg.
negative,"this wind is crampin' my style. i have a section of my yard that won't get any water. i'd move the sprinkler, but it's surrounded by mud.", crampin'
positive,@xanthetwirls i only saw urs by chance. who else would have that name! think i'll b missing 2nite too.  thank god for youtube., thank god for youtube.
negative,@thehebrican can we trade weather? it's all gloomy today in la., gloomy
negative,"@mtbonez or, just make someone walk on ur back?? i'm a professional back walker-on'er  i could use that too, on the lower regions!"," just make someone walk on ur back?? i'm a professional back walker-on'er i could use that too, on the lower regions!"
positive,"getting my butt kicked by this project  i have the idea, but can't get it perfect.", perfect.
negative,@swiftkaratechop &quot;jake cologne&quot; from hollister makes every girl i hug go fucking nuts. too bad i'm gay., too bad
positive,apparently it's #starwarsday, apparently it's #starwarsday
negative,@cocabeenslinky sorry  lol, sorry
positive,"@therealjordin so wednesday my mom is making a huge special dinner &amp; whatnot to celebrate the new single, just so ya knoww", special
neutral,i am dreading shopping for a swimsuit, i am dreading shopping for a swimsuit
positive,"@mariahcarey u go mariah,never listen to the haters  i have been a fan for so long and am so grateful for ur music. can't wait 4 the album", grateful
positive,@richdeclue that's what she said?, @richdeclue that's what she said?
negative,@damana was he big and strong - and would he like a pedometer?, @damana was he big and strong - and would he like a pedometer?
neutral,"@mryoga i love my mom, she's the best mom on the planet"," @mryoga i love my mom, she's the best mom on the planet"
positive,archuleta &amp; cook will arrive in 2 days!!, archuleta &amp; cook will arrive in 2 days!!
negative,draining my iphone battery in half a day without making a single call sucks!!! it's only 9 months old! huge fail on apple's part, sucks!!!
positive,"&quot;i don't like monday, i wish it were sunday, cause that's my fun day.&quot;  that was my freaking jam when i was little.   i miss it.", fun
positive,welcome to minnesoooooooota.  free up some time this trip to catch up! won't be at cliquot club though; they closed, welcome to minnesoooooooota.
neutral,@sloppyness only you babe. &lt;3, @sloppyness only you babe. &lt;3
negative,i just watched my favorite movie &quot;a walk to remember&quot; its so romantic and sad i just love it, sad
positive,want food too, want food too
neutral,just started twittering, just started twittering
negative,didn't make to my cousin's yacht convention. hope he doesn't get upset. and hope he won., hope he doesn't get upset.
negative,i miss my brother.  12 more days till he gets bac to tennessee. he said he was singing &quot;find my way bac to tennessee&quot; today. haha., i miss my brother.
positive,@starangel82 @darkheath @140lover everyone's going to think i'm a gold digger  hahahaha, hahahaha
positive,@ginjagin i think you're pretty! i'm sorry they made you feel bad, i think you're pretty! i'm sorry they made you feel bad
negative,@natalietran i don't like the term &quot;partner&quot; when it comes to relationships. it's too business like so that's my ugly word of the day, i don't like the term &quot;partner&quot; when it comes to relationships. it's too business like so that's my ugly word of the day
negative,"i'm really tired today - i must have slept very badly... i'm glad it's an &quot;off&quot; friday, but i've still got a ton of stuff to get done  #fb", i'm really tired
positive,sorry for callen the cops the devil  haha i got a break i love the boyz. listen it pays to b pretty wit dimples!, i love
negative,back from laaandan.  miss it already   check out my new giant purple bow and gold wing necklace. i &lt;3 td http://tinyurl.com/m5y2mw, miss
neutral,@ashleygofficial it's because finished the recordings?, @ashleygofficial it's because finished the recordings?
negative,doesn't know what to do this evening &amp; is d r e a d i n g work tomorrow  it sucks., it sucks.
positive,@bellion1988 thought u said twitter was crap bellion?, thought u said twitter was crap bellion?
neutral,@20somethingnl:20somethin' single, @20somethingnl:20somethin' single
neutral,"has broken his wordpress mu powered blog, site ok, admin screwed"," has broken his wordpress mu powered blog, site ok, admin screwed"
neutral,@kbaxter bummer yo.  i'm starting up finals too soon...so i guess i'll see you around the second week of june then., @kbaxter bummer yo. i'm starting up finals too soon...so i guess i'll see you around the second week of june then.
negative,waiting for @nickyjames to wake up...... hazin a sad, sad
positive,"@gurlstrange epicentre wheelock place, 250 units &amp; for tourists only. starting today"," @gurlstrange epicentre wheelock place, 250 units &amp; for tourists only. starting today"
positive,@bobbiehouston haha that photo is too funny! i hope he wasn't disturbed by passengers too much during the flight, funny!
negative,@ianmcnaughton you need to share the h/w love! some of us are still rocking 2008's gear., you need to share the h/w love! some of us are still rocking 2008's gear.
neutral,@techbabe i'll put your name on the list, @techbabe i'll put your name on the list
positive,the wife gets stung by a bee and she has been acting like i big ass baby ever since and this was about 5 hours ago.  lol what a baby., lol what a baby.
positive,@hannahbananalee talk about drool - the canon eos 5d mark 2 is *amazing*.  too bad it costs $2k...  http://tinyurl.com/63qoz4, *amazing*.
negative,@juicystar007 ahhh im on your blogtv waiting room, ahhh
negative,just called toyota. car won't be ready til 5., car won't be ready til 5.
negative,@csuryan i am surprised you haven't fired @stuckeycsu for announcing the whole world of they body they'd found &quot;selfish&quot;, i am surprised
negative,"spgridview is looking prettier, but i'm pretty sure my code is very ugly.", ugly.
neutral,"@redfieldwines @shakenbake bit of new scientist, this weeks an last weeks, and watership down"," @redfieldwines @shakenbake bit of new scientist, this weeks an last weeks, and watership down"
neutral,editing and watching movies tonight, editing and watching movies tonight
neutral,@safegeek so technically....i havent really gotten out of bed. so i think you're right and i'm gonna stay here!, @safegeek so technically....i havent really gotten out of bed. so i think you're right and i'm gonna stay here!
positive,"@veeiceekayi look, i'm following you!"," look, i'm following you!"
negative,"as of tomorrow, both roomies will be gone", gone
negative,"- arrggh kids that won't settle....need some kava for liam, that'll sort 'em...", - arrggh kids that won't settle....
neutral,"@sequanne he so is! &lt;3 hence, my new forum signature!"," @sequanne he so is! &lt;3 hence, my new forum signature!"
negative,"@caitran i do! id love to go, but i have a bunch of stuff to do that day, dont think i actually could go.", dont think i actually could go.
positive,@lljessicall what did you get?  my day is alright.. haven't done anything yet. leaving soon to my stepsister though!, my day is alright..
positive,@drumcounselor it's my evening., it's my evening.
neutral,i hear you @silentending..., i hear you @silentending...
positive,happy mother's day to all my twitter moms (including myself), happy
negative,@travisroberts what would you know about packing? you're making poor lauren do it all., poor
neutral,@thereallilza zaaaa !, @thereallilza zaaaa !
negative,"i kno i'm behind the times on this one, but i just learned that troy &quot;t-bag&quot; dixon died back on dec. 8th 2008. rip troy.", rip troy.
positive,chilling out listning to seal!!, chilling
negative,soo tired! feel worn out. want to go to sleep but gotta go back out, soo tired! feel worn out.
negative,thankful for last minute doc appointments... baby girl has a temp of 105.+  sitting at the doc's waitin', thankful
negative,feeling bad that @muemerry didnt get to see up, feeling bad
positive,just got home from the gym..tennis first then badminton.ehehe!,ehehe!
negative,@jessicabooth lol @ozdj said to look out for you - but i was in canberra -, but i was in canberra
positive,supernatural is back on tonight !!, supernatural is back on tonight !!
